type,issue,strategy,line,numbers,evaluated,tier,prizeLabel,prizeYuan
ssq,2026073,random,1,3 4 15 16 20 22|8,0,0,,
ssq,2026072,random,5,11 13 20 25 26 31|12,1,0,未命中,0
ssq,2026072,balanced,1,2 4 9 13 17 30|6,1,0,未命中,0
ssq,2026072,balanced,2,2 7 17 20 27 32|8,1,0,未命中,0
ssq,2026072,balanced,3,3 5 20 22 24 31|10,1,0,未命中,0
ssq,2026072,balanced,4,1 4 12 18 27 31|7,1,0,未命中,0
ssq,2026072,balanced,5,4 13 16 21 25 30|4,1,0,未命中,0
ssq,2026072,data,1,13 17 25 30 31 32|15,1,0,未命中,0
ssq,2026072,data,2,7 20 21 27 28 33|5,1,0,未命中,0
ssq,2026072,data,3,3 7 12 13 21 23|7,1,0,未命中,0
ssq,2026072,data,4,4 14 22 24 26 28|12,1,0,未命中,0
ssq,2026072,data,5,8 11 12 19 24 27|12,1,0,未命中,0
ssq,2026072,theory,1,7 9 14 18 21 24|2,1,0,未命中,0
ssq,2026072,theory,2,1 6 8 14 27 29|2,1,0,未命中,0
ssq,2026072,theory,3,7 9 11 18 22 30|2,1,0,未命中,0
ssq,2026072,theory,4,8 13 19 22 24 33|2,1,0,未命中,0
ssq,2026072,theory,5,1 3 14 26 29 32|2,1,0,未命中,0
ssq,2026072,trend,1,1 6 9 10 22 27|12,1,0,未命中,0
ssq,2026072,trend,2,1 7 9 18 26 32|10,1,0,未命中,0
ssq,2026072,trend,3,1 3 8 9 10 30|7,1,0,未命中,0
ssq,2026072,trend,4,3 8 14 18 22 27|1,1,6,5元,5
ssq,2026072,trend,5,3 13 14 17 26 30|12,1,0,未命中,0
ssq,2026071,random,1,14 17 19 20 22 23|3,1,0,未命中,0
ssq,2026071,random,2,4 6 7 9 10 11|4,1,0,未命中,0
ssq,2026071,random,3,1 13 24 29 30 31|16,1,0,未命中,0
ssq,2026071,random,4,7 10 14 22 24 32|2,1,0,未命中,0
ssq,2026071,random,5,10 11 20 22 23 26|6,1,0,未命中,0
ssq,2026071,balanced,1,1 6 13 19 22 28|12,1,0,未命中,0
ssq,2026071,balanced,2,1 12 23 26 29 32|5,1,6,5元,5
ssq,2026071,balanced,3,8 10 13 20 25 31|16,1,0,未命中,0
ssq,2026071,balanced,4,6 10 15 17 29 32|4,1,0,未命中,0
ssq,2026071,balanced,5,4 11 15 17 22 28|7,1,0,未命中,0
ssq,2026071,data,1,3 15 16 22 25 31|7,1,0,未命中,0
ssq,2026071,data,2,7 9 10 12 14 32|16,1,0,未命中,0
ssq,2026071,data,3,4 6 16 17 29 32|16,1,0,未命中,0
ssq,2026071,data,4,1 8 14 29 31 32|2,1,0,未命中,0
ssq,2026071,data,5,8 9 16 20 22 33|15,1,0,未命中,0
ssq,2026071,theory,1,2 12 14 19 27 29|2,1,0,未命中,0
ssq,2026071,theory,2,3 13 16 18 22 33|2,1,0,未命中,0
ssq,2026071,theory,3,7 9 20 22 25 30|8,1,0,未命中,0
ssq,2026071,theory,4,1 7 13 24 26 30|2,1,0,未命中,0
ssq,2026071,theory,5,7 14 17 19 22 28|2,1,0,未命中,0
ssq,2026071,trend,1,1 2 3 8 14 18|3,1,0,未命中,0
ssq,2026071,trend,2,2 3 5 13 14 32|2,1,0,未命中,0
ssq,2026071,trend,3,1 2 4 7 22 27|4,1,0,未命中,0
ssq,2026071,trend,4,1 4 9 14 18 30|3,1,0,未命中,0
ssq,2026071,trend,5,1 3 14 22 30 31|16,1,0,未命中,0
ssq,2026070,random,1,10 11 19 20 26 30|5,1,0,未命中,0
ssq,2026070,random,2,7 8 11 18 26 28|4,1,0,未命中,0
ssq,2026070,random,3,10 14 16 19 23 30|10,1,0,未命中,0
ssq,2026070,random,4,10 12 14 23 25 31|16,1,0,未命中,0
ssq,2026070,random,5,12 14 16 17 18 26|10,1,0,未命中,0
ssq,2026070,balanced,1,4 7 16 18 25 31|3,1,0,未命中,0
ssq,2026070,balanced,2,3 5 10 12 21 28|3,1,0,未命中,0
ssq,2026070,balanced,3,7 11 18 21 26 30|4,1,0,未命中,0
ssq,2026070,balanced,4,8 15 21 26 28 31|16,1,0,未命中,0
ssq,2026070,balanced,5,6 17 20 22 25 29|5,1,0,未命中,0
ssq,2026070,data,1,10 17 19 20 23 30|3,1,0,未命中,0
ssq,2026070,data,2,4 5 20 28 30 32|9,1,0,未命中,0
ssq,2026070,data,3,4 11 18 22 23 28|8,1,6,5元,5
ssq,2026070,data,4,5 8 17 22 26 32|1,1,0,未命中,0
ssq,2026070,data,5,11 12 15 18 25 29|3,1,0,未命中,0
ssq,2026070,theory,1,2 7 16 19 22 29|2,1,0,未命中,0
ssq,2026070,theory,2,1 6 9 13 24 32|2,1,0,未命中,0
ssq,2026070,theory,3,3 14 16 18 23 25|2,1,0,未命中,0
ssq,2026070,theory,4,7 13 24 25 28 30|2,1,0,未命中,0
ssq,2026070,theory,5,9 13 15 22 30 32|2,1,0,未命中,0
ssq,2026070,trend,1,1 2 14 19 25 30|12,1,0,未命中,0
ssq,2026070,trend,2,2 7 9 22 26 27|15,1,0,未命中,0
ssq,2026070,trend,3,1 3 17 22 24 27|1,1,0,未命中,0
ssq,2026070,trend,4,2 4 9 10 13 30|16,1,0,未命中,0
ssq,2026070,trend,5,7 9 17 18 22 30|8,1,6,5元,5
ssq,2026069,random,1,1 9 16 19 20 30|1,1,0,未命中,0
ssq,2026069,random,2,9 13 16 20 25 29|6,1,0,未命中,0
ssq,2026069,random,3,1 2 13 19 26 28|15,1,0,未命中,0
ssq,2026069,random,4,1 3 12 17 29 32|9,1,0,未命中,0
ssq,2026069,random,5,5 8 12 14 25 26|12,1,0,未命中,0
ssq,2026069,balanced,1,3 6 10 15 24 27|14,1,0,未命中,0
ssq,2026069,balanced,2,8 12 17 19 22 27|10,1,0,未命中,0
ssq,2026069,balanced,3,1 6 11 21 24 32|14,1,0,未命中,0
ssq,2026069,balanced,4,1 7 16 18 26 29|7,1,0,未命中,0
ssq,2026069,balanced,5,5 9 16 23 28 32|2,1,0,未命中,0
ssq,2026069,data,1,5 15 25 28 30 32|16,1,0,未命中,0
ssq,2026069,data,2,3 5 10 14 26 27|4,1,0,未命中,0
ssq,2026069,data,3,4 5 17 22 24 29|14,1,0,未命中,0
ssq,2026069,data,4,3 6 7 8 23 30|15,1,0,未命中,0
ssq,2026069,data,5,6 15 16 23 27 29|1,1,0,未命中,0
ssq,2026069,theory,1,2 9 11 16 18 27|2,1,0,未命中,0
ssq,2026069,theory,2,7 9 13 18 22 28|2,1,0,未命中,0
ssq,2026069,theory,3,1 8 13 15 30 32|2,1,0,未命中,0
ssq,2026069,theory,4,7 9 16 22 29 30|2,1,0,未命中,0
ssq,2026069,theory,5,1 8 16 17 25 30|2,1,0,未命中,0
ssq,2026069,trend,1,1 6 17 22 27 30|15,1,0,未命中,0
ssq,2026069,trend,2,1 2 3 9 12 22|15,1,0,未命中,0
ssq,2026069,trend,3,6 9 10 18 22 24|1,1,0,未命中,0
ssq,2026069,trend,4,1 2 8 9 20 25|1,1,0,未命中,0
ssq,2026069,trend,5,1 9 14 17 25 32|1,1,0,未命中,0
ssq,2026068,random,1,4 6 18 22 25 27|13,1,0,未命中,0
ssq,2026068,random,2,6 10 13 14 15 27|6,1,0,未命中,0
ssq,2026068,random,3,5 9 19 20 28 32|12,1,0,未命中,0
ssq,2026068,random,4,2 9 13 23 28 32|8,1,0,未命中,0
ssq,2026068,random,5,1 3 16 21 27 33|6,1,0,未命中,0
ssq,2026068,balanced,1,5 8 11 14 20 27|7,1,0,未命中,0
ssq,2026068,balanced,2,2 10 15 27 29 32|14,1,0,未命中,0
ssq,2026068,balanced,3,1 10 13 16 18 29|14,1,0,未命中,0
ssq,2026068,balanced,4,1 4 16 19 23 32|5,1,0,未命中,0
ssq,2026068,balanced,5,2 7 10 19 22 31|9,1,0,未命中,0
ssq,2026068,data,1,5 8 9 12 24 30|16,1,0,未命中,0
ssq,2026068,data,2,9 17 21 24 26 27|10,1,0,未命中,0
ssq,2026068,data,3,3 7 10 13 23 32|14,1,0,未命中,0
ssq,2026068,data,4,5 8 12 19 29 30|11,1,0,未命中,0
ssq,2026068,data,5,9 12 16 20 29 32|11,1,0,未命中,0
ssq,2026068,theory,1,3 7 9 20 22 30|2,1,0,未命中,0
ssq,2026068,theory,2,2 6 9 21 24 29|2,1,0,未命中,0
ssq,2026068,theory,3,9 11 17 18 24 30|2,1,0,未命中,0
ssq,2026068,theory,4,9 14 17 22 30 31|2,1,0,未命中,0
ssq,2026068,theory,5,2 9 14 16 21 29|2,1,0,未命中,0
ssq,2026068,trend,1,1 2 10 13 15 32|10,1,0,未命中,0
ssq,2026068,trend,2,1 6 13 18 19 32|10,1,0,未命中,0
ssq,2026068,trend,3,1 9 14 22 24 30|11,1,0,未命中,0
ssq,2026068,trend,4,1 2 17 19 22 26|2,1,0,未命中,0
ssq,2026068,trend,5,1 2 13 14 27 32|10,1,0,未命中,0
ssq,2026067,random,1,15 20 24 27 29 33|10,1,0,未命中,0
ssq,2026067,random,2,1 6 8 15 23 30|12,1,0,未命中,0
ssq,2026067,random,3,11 15 20 21 24 31|7,1,0,未命中,0
ssq,2026067,random,4,7 9 10 12 18 33|1,1,0,未命中,0
ssq,2026067,random,5,8 13 17 18 25 27|15,1,0,未命中,0
ssq,2026067,balanced,1,3 6 8 15 20 25|3,1,0,未命中,0
ssq,2026067,balanced,2,3 10 14 24 27 33|7,1,0,未命中,0
ssq,2026067,balanced,3,1 5 12 15 22 30|10,1,0,未命中,0
ssq,2026067,balanced,4,3 5 12 16 20 31|15,1,0,未命中,0
ssq,2026067,balanced,5,1 3 16 18 20 29|10,1,0,未命中,0
ssq,2026067,data,1,1 3 4 7 11 24|15,1,0,未命中,0
ssq,2026067,data,2,1 2 4 5 13 28|15,1,0,未命中,0
ssq,2026067,data,3,10 11 14 15 17 28|4,1,0,未命中,0
ssq,2026067,data,4,6 8 11 14 21 28|6,1,0,未命中,0
ssq,2026067,data,5,8 9 21 24 30 31|12,1,0,未命中,0
ssq,2026067,theory,1,1 6 9 16 21 24|2,1,0,未命中,0
ssq,2026067,theory,2,1 9 12 22 27 30|2,1,0,未命中,0
ssq,2026067,theory,3,2 9 13 15 28 30|2,1,0,未命中,0
ssq,2026067,theory,4,1 14 17 19 28 30|2,1,0,未命中,0
ssq,2026067,theory,5,6 9 17 19 28 30|2,1,0,未命中,0
ssq,2026067,trend,1,2 3 4 13 17 22|7,1,0,未命中,0
ssq,2026067,trend,2,1 7 8 14 18 25|1,1,0,未命中,0
ssq,2026067,trend,3,1 7 14 15 22 26|1,1,0,未命中,0
ssq,2026067,trend,4,3 6 13 18 22 30|1,1,0,未命中,0
ssq,2026067,trend,5,1 14 22 26 27 30|11,1,0,未命中,0
ssq,2026066,random,1,4 7 8 13 29 33|10,1,0,未命中,0
ssq,2026066,random,2,2 3 16 17 24 28|6,1,0,未命中,0
ssq,2026066,random,3,11 15 16 22 24 28|10,1,0,未命中,0
ssq,2026066,random,4,11 12 15 22 26 28|5,1,0,未命中,0
ssq,2026066,random,5,7 13 15 26 27 32|4,1,0,未命中,0
ssq,2026066,balanced,1,6 21 23 25 28 30|10,1,0,未命中,0
ssq,2026066,balanced,2,2 7 12 19 25 32|6,1,0,未命中,0
ssq,2026066,balanced,3,7 11 17 22 26 30|4,1,0,未命中,0
ssq,2026066,balanced,4,3 12 14 17 24 29|7,1,0,未命中,0
ssq,2026066,balanced,5,1 5 14 17 26 30|6,1,0,未命中,0
ssq,2026066,data,1,3 5 7 13 20 26|1,1,0,未命中,0
ssq,2026066,data,2,1 2 9 23 26 33|2,1,0,未命中,0
ssq,2026066,data,3,3 5 18 24 29 32|12,1,0,未命中,0
ssq,2026066,data,4,1 2 5 9 18 23|12,1,0,未命中,0
ssq,2026066,data,5,9 10 14 16 19 23|9,1,0,未命中,0
ssq,2026066,theory,1,7 10 13 18 22 27|2,1,0,未命中,0
ssq,2026066,theory,2,6 10 15 27 30 33|2,1,0,未命中,0
ssq,2026066,theory,3,9 13 16 28 30 33|2,1,0,未命中,0
ssq,2026066,theory,4,9 15 17 22 24 28|2,1,0,未命中,0
ssq,2026066,theory,5,1 3 8 9 14 30|2,1,0,未命中,0
ssq,2026066,trend,1,1 15 18 22 27 32|1,1,0,未命中,0
ssq,2026066,trend,2,1 2 9 13 26 32|1,1,0,未命中,0
ssq,2026066,trend,3,1 9 16 22 26 32|1,1,0,未命中,0
ssq,2026066,trend,4,2 9 17 20 22 33|1,1,0,未命中,0
ssq,2026066,trend,5,2 8 13 22 25 32|1,1,0,未命中,0
ssq,2026065,random,1,7 20 21 22 28 30|16,1,0,未命中,0
ssq,2026065,random,2,3 17 24 25 29 33|2,1,6,5元,5
ssq,2026065,random,3,17 18 23 24 27 31|16,1,0,未命中,0
ssq,2026065,random,4,10 17 21 24 28 31|6,1,0,未命中,0
ssq,2026065,random,5,6 11 12 15 24 32|9,1,0,未命中,0
ssq,2026065,balanced,1,8 15 18 21 24 33|11,1,0,未命中,0
ssq,2026065,balanced,2,11 16 19 25 28 30|7,1,0,未命中,0
ssq,2026065,balanced,3,3 6 10 19 23 28|10,1,0,未命中,0
ssq,2026065,balanced,4,5 12 14 16 27 29|15,1,0,未命中,0
ssq,2026065,balanced,5,1 4 9 13 16 32|10,1,0,未命中,0
ssq,2026065,data,1,3 5 11 12 27 28|13,1,0,未命中,0
ssq,2026065,data,2,3 6 22 30 31 33|9,1,0,未命中,0
ssq,2026065,data,3,1 5 10 20 23 33|9,1,0,未命中,0
ssq,2026065,data,4,2 5 6 9 22 29|6,1,0,未命中,0
ssq,2026065,data,5,2 7 8 15 19 24|10,1,0,未命中,0
ssq,2026065,theory,1,4 14 17 19 22 25|2,1,6,5元,5
ssq,2026065,theory,2,3 7 10 19 22 30|2,1,6,5元,5
ssq,2026065,theory,3,1 15 16 19 24 30|2,1,5,10元,10
ssq,2026065,theory,4,1 3 14 18 25 28|2,1,6,5元,5
ssq,2026065,theory,5,1 9 18 20 27 30|2,1,6,5元,5
ssq,2026065,trend,1,1 13 14 19 24 26|11,1,0,未命中,0
ssq,2026065,trend,2,1 9 14 20 22 32|4,1,0,未命中,0
ssq,2026065,trend,3,1 3 8 14 17 18|10,1,0,未命中,0
ssq,2026065,trend,4,1 4 14 17 22 30|15,1,0,未命中,0
ssq,2026065,trend,5,1 2 9 12 25 32|8,1,0,未命中,0
